MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
39mag_benesse_16332_002,誤って池に落ちて,謝って池に落ちて,文脈に注意,子ども時代の聞き間違い。「誤って」を「謝って」と誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', 'ニュース', '同音異義語', '日常生活', '幼少期']",['テレビ視聴']
39mag_benesse_16332_003,右中間,宇宙感,野球用語に注意,子ども時代の聞き間違い。野球用語の「右中間」を「宇宙感」と誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '野球', 'スポーツ', '同音異義語', '日常生活', '幼少期']",['テレビ視聴']
39mag_benesse_16332_004,多機能トイレです,滝のおトイレです,音声案内に注意,子ども時代の聞き間違い。駅の音声案内「多機能トイレです」を「滝のおトイレです」と誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '音声案内', '駅', '日常生活', '幼少期']",['駅のトイレ（音声案内）']
39mag_benesse_16332_005,舞踏会,ぶどう会,子どもに多い,子ども時代の聞き間違い。絵本の「舞踏会」を「ぶどう会」と思い込んだ,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '子ども', '絵本', '日常生活', '幼少期']",['絵本の読み聞かせ']
39mag_benesse_16332_006,さようでございますか,サイでございますか,子どもに多い,子ども時代の聞き間違い。電話応対の「さようでございますか」を動物のサイと誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '子ども', '電話', '日常生活', '幼少期']","['家庭内会話', '電話']"
39mag_benesse_16332_007,恐縮です,キョウシュク（品物名）,子どもに多い,子ども時代の聞き間違い。「恐縮です」を商品名と誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '子ども', '業者', '日常生活', '幼少期']",['家庭内会話']
39mag_benesse_16332_008,お世話さまです,オセワ様（名字）,子どもに多い,子ども時代の聞き間違い。「お世話さまです」を名字と誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '子ども', '業者', '日常生活', '幼少期']",['家庭内会話']
39mag_benesse_16332_009,お勉強（値引き）しまして,お勉強（算数・国語）しまして,子どもに多い,子ども時代の聞き間違い。家電屋の「お勉強しまして」を本当に勉強していると誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '子ども', '業者', '日常生活', '幼少期']",['家庭内会話']
39mag_benesse_16332_010,薬剤師,ヤクザ,子どもに多い,子ども時代の聞き間違い。「やくざいし」を「ヤクザ」と誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '子ども', '学校', '職業', '日常生活', '幼少期']",['学校']
39mag_benesse_16332_011,加齢臭,カレー臭,子どもに多い,子ども時代の聞き間違い。息子が「加齢臭」を「カレー臭」と思い込んでいた,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '子ども', '家庭', '日常生活', '幼少期']",['家庭内会話']
39mag_benesse_16332_012,トリノオリンピック,鳥のオリンピック,子どもに多い,子ども時代の聞き間違い。娘が「トリノオリンピック」を「鳥のオリンピック」と誤解,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '子ども', 'テレビ', 'スポーツ', '日常生活', '幼少期']",['テレビ視聴']
39mag_benesse_16332_013,ルパンザサード,ルパンルパーン,歌詞の聞き間違い,子ども時代の聞き間違い。「ルパン三世」のテーマ曲の歌い出しを「ルパンルパーン」と思い込んでいた,True,39mag_benesse_16332,https://39mag.benesse.ne.jp/lifestyle/content/?id=16332,日本語,"['聞き間違い', '音楽', '歌詞', '日常生活', '幼少期']",['音楽（歌詞）']
