MishearID,TagID
ameblo_b_poplar_s_001,DENWA_TAIOU
ameblo_b_poplar_s_001,MISHEARING
ameblo_b_poplar_s_001,SUUJI
ameblo_b_poplar_s_001,COMMUNICATION
ameblo_b_poplar_s_001,MANNER
ameblo_b_poplar_s_002,DENWA_TAIOU
ameblo_b_poplar_s_002,MISHEARING
ameblo_b_poplar_s_002,SUUJI
ameblo_b_poplar_s_002,COMMUNICATION
ameblo_b_poplar_s_002,MANNER
ameblo_b_poplar_s_003,DENWA_TAIOU
ameblo_b_poplar_s_003,MISHEARING
ameblo_b_poplar_s_003,ALPHABET
ameblo_b_poplar_s_003,COMMUNICATION
ameblo_b_poplar_s_003,MANNER
ameblo_b_poplar_s_004,DENWA_TAIOU
ameblo_b_poplar_s_004,MISHEARING
ameblo_b_poplar_s_004,ALPHABET
ameblo_b_poplar_s_004,COMMUNICATION
ameblo_b_poplar_s_004,MANNER
